"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients who get better at getting to and from the toilet","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who get better at getting dressed","Percentage of patients who stay the same (don't get worse) at bathing","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who are confused less often"
"157028","1ST CALL HOME HEALTH & HOSPICE","3715 S MADISON ST","MUNCIE","IN","47302","7652844445","Voluntary Non Profit - Other",10/1/1968 0:00:00,"Y","Y","Y","Y","Y","Y",38,58,70,59,54,36,64,86,16,18,51
"459477","1ST CARE HOME HEALTH EL PASO","5862 CROMO SUITE 202","EL PASO","TX","79912","9155870074","Proprietary",11/3/1999 0:00:00,"Y","Y","Y","Y","Y","Y",14,7,199,9,9,9,5,95,16,12,70
"677789","1ST CHOICE HOME HEALTH","101 KINGS PLAZA SUITE H","COMMERCE","TX","75428","9038862666","Proprietary",3/3/1994 0:00:00,"Y","Y","Y","Y","Y","Y",32,42,199,48,57,23,61,95,46,41,20
"027020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","AK","99669","9072605959","Proprietary",1/2/1996 0:00:00,"Y","Y","Y","Y","Y","Y",28,47,60,46,57,37,65,95,31,26,16
"107766","1ST CHOICE HOME HEALTH INC","2708 FRUITVILLE ROAD","SARASOTA","FL","34237","8665334778","Proprietary",4/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"459493","1ST MELLINIUM HOME HEALTH SERVICES INC","302 W 9TH STREET SUITE B","DALLAS","TX","75208","2149461122","Proprietary",6/23/2000 0:00:00,"Y","Y","Y","Y","Y","Y",13,11,199,34,33,11,27,90,45,52,19
"679027","1ST TEXAS HOME HEALTH","1621 MIDWESTERN PARKWAY","WICHITA FALLS","TX","76302","9407639500","Proprietary",3/14/2001 0:00:00,"Y","Y","Y","Y","Y","Y",44,59,73,67,70,68,72,95,24,28,199
"679029","1ST TEXAS HOME HEALTH","916 MEYER","SEALY","TX","77474","9798770900","Proprietary",3/21/2001 0:00:00,"Y","Y","Y","Y","Y","Y",31,54,61,55,69,37,73,91,36,7,56
"458193","1ST TEXAS HOME HEALTH INC","101 EAST MAIN","WHITESBORO","TX","76273","9035649111","Proprietary",10/5/1994 0:00:00,"Y","Y","Y","Y","Y","Y",28,199,199,59,56,24,199,95,36,17,199
"377614","21ST CENTURY HOME HEALTH","1421 NORTHWEST 150TH STREET","EDMOND","OK","73013","4053483459","Proprietary",9/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",24,36,62,47,55,34,44,89,42,38,29
"107635","21ST NURSE INC","223 JOHN KNOX ROAD","TALLAHASSEE","FL","32303","8503853385","Proprietary",3/15/2001 0:00:00,"Y","Y","Y","Y","N","Y",24,17,19,18,38,13,27,95,25,26,15
"237186","A   D HEALTH CARE PROFESSIONAL","3150 ENTERPRISE","SAGINAW","MI","48603","9892490929","Proprietary",1/22/1986 0:00:00,"Y","Y","Y","Y","Y","Y",30,45,56,59,50,22,58,89,34,19,35
"678144","A &  A HOME HEALTH SERVICES","7100 REGENCY SQUARE  SUITE 262","HOUSTON","TX","77036","7137838803","Proprietary",2/26/1996 0:00:00,"Y","Y","Y","Y","Y","Y",28,30,50,25,40,37,38,93,51,22,24
"107759","A & A MEDICAL SERVICES, INC.","18 WEST 55TH STREET SUITE B","HIALEAH","FL","33012","3055568799","Proprietary",1/29/2003 0:00:00,"Y","N","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"679333","A & G PERSONAL PROVIDER SERVIC","318 WATERFRONT DRIVE","SEABROOK","TX","77586","2814742277","Proprietary",9/4/2003 0:00:00,"Y","N","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201
"467200","A - PLUS HOME CARE","274 WEST 400 SOUTH","LINDON","UT","84042","8012250990","Proprietary",2/1/2001 0:00:00,"Y","Y","Y","Y","Y","Y",48,72,75,53,60,36,65,95,31,33,27
"058118","A -1 HOME HEALTH SERVICES INC","126 NORTH 10TH STREET","SANTA PAULA","CA","93060","8059331911","Proprietary",6/3/2002 0:00:00,"Y","Y","Y","Y","Y","Y",31,41,65,76,68,36,63,95,11,15,199
"367603","A 1 ASSOCIATED NURSES INC","1298 ASHLAND ROAD","MANSFIELD","OH","44905","4195892776","Proprietary",11/1/1994 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"679326","A 1 HOME CARE","535 WEST PURNELL SUITE 150","LEWISVILLE","TX","75057","9723236317","Proprietary",8/22/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"147592","A 1 HOME HEALTH CARE  INC.","3335  WEST 95TH STREET","EVERGREEN PARK","IL","60805","7082290025","Proprietary",11/23/1994 0:00:00,"Y","Y","Y","Y","Y","Y",32,39,52,64,55,39,50,94,47,13,34
"367193","A 1 NURSING CARE INC","1110 MORSE ROAD","COLUMBUS","OH","43229","6142616196","Proprietary",7/16/1982 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,48,29,199
"367542","A 1 NURSING CARE OF CLEVELAND","2060 S TAYLOR RD, SUITE 101","CLEVELAND HEIGHTS","OH","44118","2168123437","Proprietary",11/2/1993 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,40,199,199,92,56,8,199
"057433","A C  HOME HEALTH AGENCY, INC.","3870 CRENSHAW BLVD 205","LOS ANGELES","CA","90008","3232945189","Proprietary",10/12/1993 0:00:00,"Y","Y","Y","Y","Y","Y",30,46,42,80,62,39,59,95,28,19,31
"679329","A CARE HOME HEALTH SERVICES","5909 WEST LOOP SOUTH SUITE 570","BELLAIRE","TX","77401","7136658200","Proprietary",8/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"367660","A CARING ALTERNATIVE INC","1501 EUCLID AVE, SUITE 530","CLEVELAND","OH","44115","2166646544","Proprietary",9/15/1995 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,199,199,199
"679071","A CENTER FOR HOME CARE","602 CORA STREET","CENTER","TX","75935","9365919550","Proprietary",9/19/2001 0:00:00,"Y","Y","Y","Y","Y","Y",36,45,199,55,55,36,57,90,30,26,39
