"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Skilled Nursing Care","Physical Therapy","Occupational Therapy","Speech Pathology","Medical Social","Home Health Aide","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends"
"367542","A 1 NURSING CARE OF CLEVELAND","2060 S TAYLOR RD, SUITE 101","CLEVELAND HEIGHTS","OH","44118","2168123437","Proprietary",11/2/1993 0:00:00,"Y","Y","Y","Y","Y","Y",5,199,199,199,35,199,199,49,8,52
"497594","A ALL ABOUT CARE","9327 MIDLOTHIAN TURNPIKE SUITE 2H","RICHMOND","VA","23236","8045605430","Proprietary",11/10/2004 0:00:00,"Y","Y","Y","Y","Y","Y",48,51,39,69,63,40,64,30,14,68
"057433","A C  HOME HEALTH AGENCY, INC.","3870 CRENSHAW BLVD 205","LOS ANGELES","CA","90008","3232945189","Proprietary",10/12/1993 0:00:00,"Y","Y","Y","Y","Y","Y",47,64,33,88,94,74,87,32,31,61
"679329","A CARE HOME HEALTH SERVICES","5909 WEST LOOP SOUTH SUITE 570","BELLAIRE","TX","77401","7136658200","Proprietary",8/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",73,60,199,199,85,199,199,59,61,40
"367660","A CARING ALTERNATIVE INC","1220 HURON ROAD","CLEVELAND","OH","44115","2166646544","Proprietary",9/15/1995 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,73,199,22
"679071","A CENTER FOR HOME CARE","708 SOUTHVIEW CIRCLE","CENTER","TX","75935","9365919550","Proprietary",9/19/2001 0:00:00,"Y","Y","Y","Y","Y","Y",33,36,28,56,74,57,47,50,33,36
"247248","A CHANCE TO GROW INC","1800 SECOND STREET NE","MINNEAPOLIS","MN","55418","6127891236","Voluntary Non Profit - Private",2/14/1989 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201
"367499","A D HOME HEALTH CARE","1018 DELTA AVENUE, SUITE 203","CINCINNATI","OH","45208","5135334977","Proprietary",10/2/1992 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,199,199
"107784","A FAMILIAR FACE HOME HEALTH","5899 WHITFIELD AVENUE, SUITE 107","SARASOTA","FL","34243","9413659474","Voluntary Non Profit - Private",6/26/2003 0:00:00,"Y","Y","N","N","Y","Y",27,199,199,199,72,199,199,21,20,78
"107639","A FAMILIAR FACE HOME HEALTH SERVICES, INC.","2750 BAHIA VISTA STREET, SUITE 125","SARASOTA","FL","34239","9413659474","Proprietary",4/13/2001 0:00:00,"Y","Y","Y","Y","Y","Y",19,60,73,71,61,37,50,26,20,71
"679066","A GOOD HOME HEALTH CARE","1128 W HILDEBRAND","SAN ANTONIO","TX","78201","2107376690","Proprietary",8/6/2001 0:00:00,"Y","Y","Y","Y","Y","Y",37,31,43,64,75,48,61,35,27,63
"457890","A HEALING TOUCH HOME HEALTH","536 S TEXAS BLVD SUITE 109 B","WESLACO","TX","78596","9564471803","Proprietary",9/15/2005 0:00:00,"Y","Y","N","N","Y","N",201,201,201,201,201,201,201,201,201,201
"679140","A MISSION OF HOME HEALTH CARE INC","3455 HIGHLAND RD STE 200","DALLAS","TX","75228","2143279656","Proprietary",6/6/2002 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,50,53,48
