"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends"
"459477","1ST CARE HOME HEALTH EL PASO","5862 CROMO SUITE 202","EL PASO","TX","79912","9155870074","Proprietary",11/3/1999 0:00:00,"Y","Y","Y","Y","Y","Y",22,199,199,8,21,5,14,18,12,79
"677789","1ST CHOICE HOME HEALTH","101 KINGS PLAZA SUITE H","COMMERCE","TX","75428","9038862666","Proprietary",3/3/1994 0:00:00,"Y","Y","Y","Y","Y","Y",34,51,29,43,45,28,32,50,43,43
"027020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","AK","99669","9072605959","Proprietary",1/2/1996 0:00:00,"Y","Y","Y","Y","Y","Y",37,55,25,56,68,49,62,22,21,76
"107766","1ST CHOICE HOME HEALTH INC","2708 FRUITVILLE ROAD","SARASOTA","FL","34237","8665334778","Proprietary",4/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",31,42,54,57,51,28,39,18,22,74
"108301","1ST CLASS HOME HEALTH INC","7105 SW 8TH STREET, STE 201","MIAMI","FL","33144","3052642790","Proprietary",5/15/2006 0:00:00,"Y","Y","N","N","Y","Y",201,201,201,201,201,201,201,201,201,201
"677890","1ST GENESIS HOME HEALTH SERVICES","8303 WINDFERN RD SUITE A","HOUSTON","TX","77040","7139377494","Proprietary",3/30/2006 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201
"147870","1ST HOME HEALTHCARE, INC","5875 N LINCOLN AVENUE, SUITE 228","CHICAGO","IL","60659","7732757935","Proprietary",4/28/2006 0:00:00,"Y","Y","Y","N","Y","Y",201,201,201,201,201,201,201,201,201,201
"459493","1ST MELLINIUM HOME HEALTH SERVICES INC","2730 N STEMMONS FREEWAY STE 706","DALLAS","TX","75207","2149461122","Proprietary",6/23/2000 0:00:00,"Y","Y","Y","Y","Y","Y",32,37,49,87,68,37,60,32,30,59
"679027","1ST TEXAS HOME HEALTH","2012 KELL BOULEVARD","WICHITA FALLS","TX","76301","9407639500","Proprietary",3/14/2001 0:00:00,"Y","Y","Y","Y","Y","Y",53,61,58,55,73,41,48,40,8,51
"679029","1ST TEXAS HOME HEALTH","324 MEYER","SEALY","TX","77474","9798770900","Proprietary",3/21/2001 0:00:00,"Y","Y","Y","N","Y","Y",25,47,53,55,55,33,56,44,18,46
"458193","1ST TEXAS HOME HEALTH INC","1800 N TRAVIS SUITE A","SHERMAN","TX","75090","9038929111","Proprietary",10/5/1994 0:00:00,"Y","Y","Y","Y","Y","Y",29,59,62,52,76,62,47,44,33,49
"377614","21ST CENTURY HOME HEALTH","1421 NORTHWEST 150TH STREET","EDMOND","OK","73013","4053483459","Proprietary",9/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",34,30,26,37,66,49,18,53,45,42
"237511","24-SEVEN HOME HEALTH CARE SERVICES, INC","15565 NORTHLAND DRIVE, SUITE 801W","SOUTHFIELD","MI","48075","2483950060","Proprietary",3/29/2004 0:00:00,"Y","Y","Y","Y","Y","Y",27,46,50,61,67,36,48,28,24,69
"377672","3 D HEALTH CARE, INC","116 WEST MAIN STREET","WILBURTON","OK","74578","9184659001","Proprietary",8/5/2004 0:00:00,"Y","Y","N","N","N","Y",26,199,199,33,23,199,21,58,7,38
"679422","3M HEALTHCARE SERVICES","7457 HARWIN DRIVE SUITE 200","HOUSTON","TX","77036","7135540806","Proprietary",1/29/2004 0:00:00,"Y","Y","Y","Y","Y","Y",34,35,35,61,52,17,54,29,21,55
"147766","5 STAR HEALTHCARE, INC","8001 N LINCOLN AVENUE, STE 702","SKOKIE","IL","60077","8476773905","Proprietary",4/5/2004 0:00:00,"Y","Y","Y","Y","Y","Y",32,55,45,67,65,46,56,29,12,58
"108195","5 STAR HOME HEALTH SERVICES, INC","5104 NORTH ORANGE BLOSSOM TRAIL, SUITE 116","ORLANDO","FL","32810","4072962610","Proprietary",9/1/2005 0:00:00,"Y","Y","Y","Y","Y","Y",38,46,42,86,54,33,46,44,9,48
"058306","81 HOME HEALTH SERVICES","14442 EAST WHITTIER BLVD SUITE 205","WHITTIER","CA","90605","5623200456","Proprietary",7/15/2005 0:00:00,"Y","Y","Y","Y","Y","Y",18,8,5,80,28,47,5,18,14,79
"237186","A   D HEALTH CARE PROFESSIONAL","3150 ENTERPRISE","SAGINAW","MI","48603","9892490929","Proprietary",1/22/1986 0:00:00,"Y","Y","Y","Y","Y","Y",37,44,57,66,58,27,61,33,31,62
"108095","A & A HEALTH SERVICES INC","1140  WEST 50TH STREET, SUITE 200A","HIALEAH","FL","33012","3058252112","Proprietary",9/2/2004 0:00:00,"Y","Y","N","N","Y","Y",32,37,31,87,57,33,41,11,5,87
"678144","A & A HOME HEALTH SERVICES","7100 REGENCY SQUARE  SUITE 262","HOUSTON","TX","77036","7137838803","Proprietary",2/26/1996 0:00:00,"Y","Y","Y","Y","Y","Y",22,36,33,51,51,36,50,50,5,47
"108001","A & A HOMECARE, INC","211 NORTH HIGHWAY 71","WEWAHITCHKA","FL","32465","8502273331","Proprietary",11/7/2003 0:00:00,"Y","Y","Y","Y","N","Y",50,46,46,67,70,58,66,37,35,56
"107759","A & A MEDICAL SERVICES, INC.","4501 PALM AVENUE, STE 101-102","HIALEAH","FL","33012","3055568799","Proprietary",1/29/2003 0:00:00,"Y","Y","Y","N","Y","Y",24,30,25,62,43,26,30,28,5,72
"457892","A & B HOME HEALTH CARE INC","839 IH 35 SOUTH STE K","NEW BRAUNFELS","TX","78130","8306254837","Proprietary",9/22/2005 0:00:00,"Y","Y","Y","Y","Y","N",31,52,199,70,60,28,57,43,13,52
