"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends","Percentage of patients who need unplanned medical care related to a wound that is new, is worse, or has become infected","Percentage of patients whose wounds improved or healed after an operation"
"747129","1ST AID HOME HEALTH SERVICES","4604 PUTNAM DRIVE","PLANO","TX","75024","9726188001","Proprietary",4/9/2009 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"147909","1ST ASSIST HOME HEALTHCARE, LLC","1019 WEST WISE ROAD, SUITE 200","SCHAUMBURG","IL","60193","6303393688","Proprietary",1/19/2007 0:00:00,"Y","Y","Y","Y","Y","Y",45,56,52,65,73,49,57,39,36,55,0,89
"459477","1ST CARE HOME HEALTH EL PASO","5862 CROMO SUITE 202","EL PASO","TX","79912","9155870074","Proprietary",11/3/1999 0:00:00,"Y","Y","Y","Y","Y","Y",22,13,199,5,14,13,19,11,9,86,0,82
"679612","1ST CHOICE HEALTHCARE SERVICES INC","2650 FOUNTAIN VIEW DRIVE 316","HOUSTON","TX","77057","7137728100","Proprietary",2/5/2007 0:00:00,"Y","Y","Y","Y","N","Y",28,11,199,30,33,199,17,20,19,70,0,199
"679657","1ST CHOICE HOME HEALTH","1205 BENT OAKS SUITE 100","DENTON","TX","76210","9403874594","Proprietary",9/1/2007 0:00:00,"Y","Y","Y","Y","Y","Y",49,55,46,69,61,43,52,35,32,60,0,82
"679339","1ST CHOICE HOME HEALTH","5032 JUSTIN SUITE 301","NACOGDOCHES","TX","75965","9365595559","Proprietary",8/21/2003 0:00:00,"Y","Y","Y","Y","Y","Y",37,43,37,32,52,199,22,43,40,51,2,199
"677789","1ST CHOICE HOME HEALTH","101 KINGS PLAZA SUITE H","COMMERCE","TX","75428","9038862666","Proprietary",3/3/1994 0:00:00,"Y","Y","Y","Y","Y","Y",30,36,15,26,44,23,16,49,45,45,1,199
"027020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","AK","99669","9072605959","Proprietary",1/2/1996 0:00:00,"Y","Y","Y","Y","Y","Y",38,32,31,55,48,41,55,27,5,71,0,69
"108301","1ST CLASS HOME HEALTH INC","8660 W FLAGER ST #121","MIAMI","FL","33144","3052271998","Proprietary",5/15/2006 0:00:00,"Y","Y","Y","N","N","Y",20,30,3,92,65,16,26,24,8,74,0,199
"677890","1ST GENESIS HOME HEALTH SERVICES","8303 WINDFERN RD SUITE A","HOUSTON","TX","77040","7139377494","Proprietary",3/30/2006 0:00:00,"Y","Y","Y","Y","Y","Y",38,48,15,52,61,51,36,38,5,54,0,199
"109253","1ST HOME HEALTH CARE INC","7815 SW 24 STREET SUITE 100","MIAMI","FL","33155","3052646710","Proprietary",5/14/2009 0:00:00,"Y","Y","N","N","N","Y",201,201,201,201,201,201,201,201,201,201,201,201
"147870","1ST HOME HEALTHCARE, INC","5875 N LINCOLN AVENUE, SUITE 229","CHICAGO","IL","60659","7732757935","Proprietary",4/28/2006 0:00:00,"Y","Y","Y","N","Y","Y",31,199,199,61,199,199,199,53,60,27,2,199
"459493","1ST MELLINIUM HOME HEALTH SERVICES INC","2730 N STEMMONS FREEWAY STE 706","DALLAS","TX","75207","2149461122","Proprietary",6/23/2000 0:00:00,"Y","Y","Y","Y","Y","Y",49,43,199,55,61,12,21,39,36,57,1,199
"679770","1ST PRECIOUS HOME HEALTHCARE AGENCY","5928 SUMMERWOOD DRIVE","GRAND PRAIRIE","TX","75052","8174178805","Proprietary",3/28/2008 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,45,53,55,5,199
"679358","1ST PRUDENTIAL HEALTH CARE SERVICES, INC","2730 N STEMMONS FRWY STE 505","DALLAS","TX","75207","2146343700","Proprietary",10/2/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,73,80,27,0,199
"679027","1ST TEXAS HOME HEALTH","710 LAMAR SUITE 340","WICHITA FALLS","TX","76301","9407639500","Proprietary",3/14/2001 0:00:00,"Y","Y","Y","Y","Y","Y",44,41,42,56,61,43,42,46,30,45,1,84
"679029","1ST TEXAS HOME HEALTH","324 MEYER","SEALY","TX","77474","9798770900","Proprietary",3/21/2001 0:00:00,"Y","Y","Y","Y","Y","Y",46,50,44,53,62,47,68,44,21,54,1,95
"458193","1ST TEXAS HOME HEALTH INC","1821 S FM 51","DECATUR","TX","76234","9406262266","Proprietary",10/5/1994 0:00:00,"Y","Y","Y","Y","Y","Y",54,40,8,67,58,38,27,41,22,56,2,81
"377614","21ST CENTURY HOME HEALTH","1421 NORTHWEST 150TH STREET","EDMOND","OK","73013","4053483459","Proprietary",9/10/1997 0:00:00,"Y","Y","Y","Y","Y","Y",33,29,22,40,50,44,37,42,42,52,0,67
"237797","21ST CENTURY HOME HEALTH CARE, INC","17520 WEST 12 MILE ROAD, SUITE 101","SOUTHFIELD","MI","48076","2485528207","Proprietary",1/14/2009 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"237511","24-SEVEN HOME HEALTH CARE SERVICES, INC","15565 NORTHLAND DRIVE, SUITE 806W","SOUTHFIELD","MI","48075","2483950060","Proprietary",3/29/2004 0:00:00,"Y","Y","Y","Y","Y","Y",28,36,50,68,45,45,49,24,19,71,1,199
"377672","3 D HEALTH CARE, INC","116 WEST MAIN STREET","WILBURTON","OK","74578","9184659001","Government - Combination GOVT & Voluntary",8/5/2004 0:00:00,"Y","Y","N","Y","N","Y",29,199,199,44,62,199,36,47,22,41,2,199
