ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing,Physical,Occupational Therapy,Speech Therapy,Medical Social,Home Health Aide,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
17008,JEFFERSON COUNTY HOME CARE,"530 BEACON PARKWAY WEST,  SUITE 300",BIRMINGHAM,AL,35209,2059169500,State/County,10/1/72 0:00,Y,Y,Y,Y,Y,Y,96,97,96,99,71,55,95,99,97,199,95,95,97,25,27,28,60,28,92,201,21,201,40
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35209,2059792619,Proprietary,1/18/73 0:00,Y,Y,Y,Y,Y,Y,87,86,93,88,51,50,83,97,88,95,85,91,98,51,54,69,67,60,91,201,43,201,39
17013,"MID-SOUTH HOME HEALTH AGENCY, LLC","557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,3343470234,Proprietary,7/24/75 0:00,Y,Y,Y,Y,N,Y,96,78,98,97,65,59,62,99,89,199,51,62,99,52,55,70,63,71,87,201,43,201,33
17014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,2052744919,Proprietary,9/4/75 0:00,Y,Y,Y,Y,Y,Y,95,70,100,99,63,68,72,100,99,199,96,97,100,49,41,69,66,67,89,201,39,201,21
17016,SOUTHEAST ALABAMA HOMECARE,"806 GLOVER AVENUE, SUITE A",ENTERPRISE,AL,36330,3347940591,Proprietary,6/9/76 0:00,Y,Y,Y,Y,N,Y,95,94,97,98,79,80,199,100,93,199,199,199,100,43,46,80,64,41,199,201,55,201,27
17017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,AL,35653,2563321631,Private,3/26/77 0:00,Y,Y,Y,Y,Y,Y,95,89,100,98,76,75,57,100,87,199,75,96,98,53,54,69,75,29,88,201,49,201,26
17018,MID SOUTH HOME HEALTH OF GADSDEN,510 SOUTH FOURTH STREET,GADSDEN,AL,35901,2564421138,Proprietary,1/1/77 0:00,Y,Y,Y,Y,Y,Y,80,80,87,98,63,63,77,100,96,98,79,82,98,58,61,71,78,62,91,201,39,201,35
17020,"TENDER LOVING CARE, AN AMEDISYS COMPANY","273 AZALEA ROAD, BUILDING 2, SUITE 100",MOBILE,AL,36609,2514760192,Proprietary,5/23/77 0:00,Y,Y,Y,Y,Y,Y,86,91,100,98,87,84,96,100,100,100,96,75,99,49,53,69,67,54,95,201,50,201,36
17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,3347940591,Proprietary,6/1/78 0:00,Y,Y,N,N,N,Y,94,75,93,93,84,66,94,99,98,199,94,97,91,53,62,79,65,62,88,201,57,201,26
17025,SAADS HEALTHCARE SERVICES,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2513439600,Proprietary,12/28/78 0:00,Y,Y,Y,Y,Y,Y,81,94,99,98,47,42,93,99,99,92,96,99,97,44,46,62,64,56,93,201,38,201,47
17026,"MID-SOUTH HOME HEALTH AGENCY,","2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,2057397800,Proprietary,3/29/79 0:00,Y,Y,Y,Y,Y,Y,87,52,98,84,59,52,91,90,99,199,88,89,96,50,56,66,62,69,78,201,39,201,30
17027,HGA HOMECARE OF DECATUR,"2699 SANDLIN ROAD SW, SUITE B8",DECATUR,AL,35601,2563504182,Proprietary,7/25/79 0:00,Y,Y,Y,Y,Y,Y,92,83,94,95,44,41,97,100,99,199,99,99,98,52,55,76,66,50,88,201,53,201,31
17028,CARETENDERS,420 10TH STREET SW,BIRMINGHAM,AL,35211,2057837900,Proprietary,6/1/79 0:00,Y,Y,Y,Y,Y,Y,68,83,98,97,51,48,83,97,94,100,92,93,97,42,44,63,60,54,94,201,40,201,38
17033,CARE FIRST EAST HOME HEALTH,"117 GEMINI CIRCLE, SUITE 407",BIRMINGHAM,AL,35209,2058385795,Proprietary,10/24/79 0:00,Y,Y,Y,Y,Y,Y,21,98,67,95,70,55,199,97,96,199,199,199,100,25,19,57,65,32,199,201,29,201,36
17034,MERCY MEDICAL HOME HEALTH,101 VILLA DRIVE,DAPHNE,AL,36526,2516214431,Religious Affiliations,5/26/81 0:00,Y,Y,Y,Y,Y,Y,91,76,97,99,65,56,76,98,96,97,91,90,98,41,52,58,59,50,81,201,32,201,29
17035,INFIRMARY HOMECARE OF MOBILE,618 AZALEA ROAD,MOBILE,AL,36609,2514503300,Proprietary,8/20/81 0:00,Y,Y,Y,Y,Y,Y,97,81,89,93,66,58,85,99,94,97,88,95,95,62,67,84,85,79,83,201,65,201,36
17037,BAPTIST HOME HEALTH,301 INTERSTATE PARK,MONTGOMERY,AL,36111,3343955100,Other,10/1/81 0:00,Y,Y,Y,Y,Y,Y,87,91,100,100,68,52,95,100,99,96,93,96,99,35,38,53,70,51,94,201,29,201,35
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"7047 OLD MADISON PIKE, SUITE 305",HUNTSVILLE,AL,35806,2569229919,Proprietary,8/5/82 0:00,Y,Y,Y,Y,N,Y,85,64,100,99,73,68,89,100,93,100,92,92,100,52,51,73,81,68,88,201,49,201,30
17041,ABLE HOMECARE OF BIRMINGHAM,"2090 COLUMBIANA ROAD, SUITE 1950",BIRMINGHAM,AL,35216,2059793180,Proprietary,8/4/82 0:00,Y,Y,Y,Y,Y,Y,93,89,85,84,78,77,71,98,100,199,88,199,95,61,58,82,41,52,90,201,62,201,32
17048,"MID-SOUTH HOME HEALTH AGENCY, LLC",1800 HIGHWAY 84 WEST,OPP,AL,36467,3344934555,Proprietary,12/8/83 0:00,Y,Y,Y,Y,Y,Y,90,78,98,98,48,41,84,97,90,199,83,86,99,46,58,68,77,72,92,201,40,201,40
17050,SPECTRUM HOME HEALTH AGENCY,"3125 UNIVERSITY DRIVE SUITE C,",HUNTSVILLE,AL,35816,2565394457,Proprietary,10/19/83 0:00,Y,Y,Y,N,Y,Y,98,90,98,100,83,48,96,94,96,199,100,100,99,47,50,60,71,55,78,201,46,201,40
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,2058680147,Proprietary,6/1/84 0:00,Y,Y,Y,Y,Y,Y,90,86,100,100,70,71,96,100,99,100,100,100,100,50,52,71,68,70,85,201,44,201,33
17052,MID-SOUTH HOME HEALTH,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519433002,Proprietary,9/20/84 0:00,Y,Y,Y,Y,Y,Y,77,80,78,66,37,22,78,80,94,199,55,51,73,55,60,69,62,61,93,201,48,201,34
17053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,3347935758,Proprietary,8/20/84 0:00,Y,Y,Y,Y,Y,Y,91,88,93,97,55,54,94,98,99,91,95,86,100,59,66,80,71,68,90,201,50,201,28
17054,MID-SOUTH HOME HEALTH,919 MEDICAL CENTER DRIVE,BESSEMER,AL,35022,2059454859,Proprietary,9/4/84 0:00,Y,Y,Y,Y,Y,Y,86,86,96,75,53,50,86,92,95,97,91,92,94,45,50,62,64,56,84,201,40,201,31
17055,MID-SOUTH HOME HEALTH,1294-A EAST MAIN STREET,PRATTVILLE,AL,36066,3343619806,Proprietary,6/8/84 0:00,Y,Y,Y,Y,Y,Y,62,70,96,16,50,33,53,94,78,199,74,84,92,64,69,79,72,69,72,201,61,201,33
17056,MID SOUTH HOME HEALTH AGENCY INC,"2511 FAIRLANE DRIVE, SUITE C-100",MONTGOMERY,AL,36116,3348324523,Proprietary,12/3/84 0:00,Y,Y,Y,Y,Y,Y,38,67,92,10,49,51,29,72,60,95,49,54,85,51,59,69,75,61,88,201,51,201,38
17058,MID SOUTH HOME HEALTH AGENCY,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,2516210882,Proprietary,10/25/84 0:00,Y,Y,Y,Y,Y,Y,89,87,94,68,43,34,78,99,92,199,84,95,97,45,51,64,57,64,88,201,52,201,33
17063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",BIRMINGHAM,AL,35209,2058773403,Proprietary,12/5/85 0:00,Y,Y,Y,Y,Y,Y,79,86,100,100,83,77,93,100,96,199,97,97,96,57,56,77,67,66,86,201,29,201,23
17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,2514338172,Proprietary,2/24/86 0:00,Y,Y,Y,Y,Y,Y,89,89,94,96,32,35,97,98,99,100,95,96,89,36,39,53,60,44,85,201,31,201,44
17067,INTREPID USA HEALTHCARE SERVICES,7212 COPPERFIELD DRIVE,MONTGOMERY,AL,36117,3342707913,Proprietary,5/9/86 0:00,Y,Y,Y,N,Y,Y,83,65,95,31,69,46,68,80,89,199,81,83,72,49,46,66,77,71,77,201,39,201,30
17069,AMEDISYS HOME HEALTH OF FAIRHOPE,110 ELECIA LANE,FOLEY,AL,36535,2519711436,Proprietary,7/1/86 0:00,Y,Y,Y,Y,Y,Y,96,87,100,100,63,54,93,99,99,98,97,98,100,53,56,71,73,64,84,201,51,201,35
17070,AMEDISYS HOME HEALTH OF MOBILE,"820 UNIVERSITY BOULEVARD, SUITE 3E",MOBILE,AL,36609,2513430985,Proprietary,7/1/86 0:00,Y,Y,Y,Y,Y,Y,90,80,100,100,49,42,90,100,97,199,93,87,100,52,54,68,54,63,91,201,52,201,36
17071,"MID SOUTH HOME HEALTH AGENCY, INC",12521 ALABAMA HIGHWAY 157,MOULTON,AL,35650,2057397800,Proprietary,8/21/86 0:00,Y,Y,Y,N,Y,Y,90,86,86,94,65,60,85,97,95,95,84,88,96,54,57,71,64,62,86,201,50,201,29
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,3343822042,Proprietary,2/5/87 0:00,Y,Y,N,N,N,Y,95,76,100,100,29,28,93,99,100,199,86,98,100,40,37,72,64,72,199,201,51,201,39
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,2053759255,Proprietary,6/12/90 0:00,Y,Y,Y,Y,Y,Y,94,85,100,99,87,88,100,100,99,199,100,95,100,61,57,90,73,72,95,201,74,201,30
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,2056956736,Proprietary,12/21/90 0:00,Y,Y,N,N,N,Y,88,92,100,100,90,93,199,100,100,199,199,199,97,37,51,71,48,23,199,201,52,201,21
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2057597775,State/County,5/2/91 0:00,Y,Y,Y,Y,Y,Y,64,95,99,92,82,74,87,99,97,97,82,92,95,61,66,80,85,78,93,201,66,201,26
