ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
017008,JEFFERSON COUNTY HOME CARE,"530 BEACON PARKWAY WEST,  SUITE 300",BIRMINGHAM,AL,35209,2059169500,GOVERNMENT - STATE/COUNTY,10/1/1972,Y,Y,Y,Y,Y,Y,97,97,67,99,54,60,97,98,100,199,100,99,100,48,40,40,49,48,77,201,31,201,38
017009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35209,2059792619,PROPRIETARY,1/18/1973,Y,Y,Y,Y,Y,Y,90,89,31,95,59,58,89,94,93,97,90,96,99,55,50,63,54,59,94,201,49,201,35
017013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,3343470234,PROPRIETARY,7/24/1975,Y,Y,Y,Y,N,Y,82,90,98,90,65,61,60,100,97,100,51,62,98,56,50,67,57,70,91,201,48,201,30
017014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,2052744919,PROPRIETARY,9/4/1975,Y,Y,Y,Y,Y,Y,85,70,100,100,77,73,82,100,99,199,97,88,100,56,47,68,63,62,92,201,42,201,22
017016,SOUTHEAST ALABAMA HOMECARE,"806 GLOVER AVENUE, SUITE A",ENTERPRISE,AL,36330,3347940591,PROPRIETARY,6/9/1976,Y,Y,Y,Y,N,Y,91,91,96,96,83,75,96,100,96,199,199,89,95,73,73,77,74,62,100,201,61,201,31
017017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,AL,35653,2563321631,VOLUNTARY NON-PROFIT - PRIVATE,3/26/1977,Y,Y,Y,Y,Y,Y,91,90,100,99,59,58,67,100,94,79,72,99,100,59,44,61,52,37,91,201,42,201,38
017018,GENTIVA HEALTH SERVICES,3225 RAINBOW STREET,RAINBOW CITY,AL,35906,2564421138,PROPRIETARY,1/1/1977,Y,Y,Y,Y,Y,Y,82,86,86,99,68,72,77,99,94,95,81,93,99,63,57,69,66,69,89,201,49,201,27
017020,AMEDISYS HEALTH CARE,"820 SOUTH UNIVERSITY BOULEVARD, SUITE 3F",MOBILE,AL,36609,2513800492,PROPRIETARY,5/23/1977,Y,Y,Y,Y,Y,Y,90,79,100,100,76,70,90,100,97,98,96,97,100,55,47,65,67,68,90,201,48,201,29
017024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,3347940591,PROPRIETARY,6/1/1978,Y,Y,N,N,N,Y,99,86,84,97,86,77,96,99,99,90,95,97,93,59,55,73,58,58,90,201,53,201,29
017025,SAADS HEALTHCARE SERVICES,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2513439600,PROPRIETARY,12/28/1978,Y,Y,Y,Y,Y,Y,84,93,99,99,51,49,93,99,99,95,97,98,98,57,52,69,66,70,96,201,58,201,39
