ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
027001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,AK,99508,9075630130,VOLUNTARY NON-PROFIT - CHURCH,5/17/1982,Y,Y,Y,Y,Y,Y,71,94,65,92,67,66,95,96,100,100,97,98,99,42,36,52,55,55,73,31,18,19
027002,HOSPICE & HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,AK,99801,9074633113,VOLUNTARY NON-PROFIT - PRIVATE,12/27/1982,Y,Y,Y,Y,Y,Y,64,54,83,14,44,29,53,67,92,199,76,82,64,41,45,53,48,53,85,53,8,15
027006,FAIRBANKS MEMORIAL HOSPITAL HHA,"1302 21ST AVENUE, FLOOR 2",FAIRBANKS,AK,99701,9074585410,VOLUNTARY NON-PROFIT - OTHER,9/19/1985,Y,Y,Y,Y,Y,Y,86,95,95,95,66,58,87,97,99,94,98,99,99,57,57,63,62,53,199,38,17,39
027007,SITKA COMMUNITY HOSPITAL HHA,209 MOLLER AVENUE,SITKA,AK,99835,9077471750,COMBINATION GOVERNMENT VOLUNTARY,9/26/1985,Y,Y,Y,Y,N,N,89,76,100,100,199,33,199,100,100,199,199,100,100,199,199,199,199,199,199,199,15,50
027008,MAT-SU REGIONAL HOME CARE,"950 E BOGARD, STE 132",WASILLA,AK,99654,9078616000,PROPRIETARY,1/22/1987,Y,Y,Y,Y,Y,Y,59,91,97,89,57,74,86,95,94,97,87,84,95,48,48,62,57,64,92,44,15,20
027009,PETERSBURG MEDICAL CENTER HOME,P.O. BOX 589,PETERSBURG,AK,99833,9077724291,GOVERNMENT - LOCAL,7/21/1987,Y,Y,Y,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,15,199
027032,"MAXIM HEALTHCARE SERVICES, INC","711 H STREET, SUITE 100",ANCHORAGE,AK,99501,9077700862,PROPRIETARY,8/23/2006,Y,Y,N,N,Y,Y,74,95,100,95,62,61,90,99,100,199,100,100,96,42,40,57,65,67,94,41,14,26
027014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,126 WASHINGTON STREET,KETCHIKAN,AK,99901,9072258914,VOLUNTARY NON-PROFIT - CHURCH,3/4/1993,Y,Y,Y,Y,Y,Y,90,96,97,99,57,75,100,99,100,199,100,100,100,39,29,49,45,43,199,44,30,32
027020,"1ST CHOICE HOME HEALTH CARE, INC",159 E REDOUBT AVENUE,SOLDOTNA,AK,99669,9072605959,PROPRIETARY,1/2/1996,Y,Y,N,Y,Y,Y,84,90,73,99,57,51,98,99,100,199,98,100,100,58,49,60,43,69,199,47,17,28
027021,PROVIDENCE KODIAK HOME HEALTH,204 EAST REZANOF DRIVE,KODIAK,AK,99615,9074869545,VOLUNTARY NON-PROFIT - CHURCH,12/21/1995,Y,Y,Y,Y,Y,Y,86,86,100,83,199,78,199,91,88,199,61,68,95,43,199,199,199,199,199,199,13,33
027022,AMEDISYS HOME HEALTH CARE,"3909 ARCTIC BLVD, SUITE 102",ANCHORAGE,AK,99503,9072721275,PROPRIETARY,5/7/1996,Y,Y,Y,Y,N,N,60,80,100,100,52,53,66,99,98,199,89,79,100,59,53,63,62,68,96,54,20,23
027024,SOUTHCENTRAL FOUNDATION HOME BASED SERVICES CERTIF,4160 TUDOR CENTRE DRIVE,ANCHORAGE,AK,99508,9077298624,VOLUNTARY NON-PROFIT - OTHER,7/17/1996,Y,N,N,N,Y,Y,84,73,89,89,57,77,92,100,98,199,92,84,87,54,54,62,54,89,85,50,0,35
027010,SOUTH PENINSULA HOSPITAL HHA,"203 WEST PIONEER AVENUE, SUITE 1",HOMER,AK,99603,9072350369,VOLUNTARY NON-PROFIT - OTHER,2/20/1990,Y,Y,Y,N,Y,Y,91,75,100,77,52,52,199,85,91,199,199,89,98,46,199,58,59,199,199,199,22,43
017070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,2518663261,PROPRIETARY,7/1/1986,Y,Y,Y,Y,Y,Y,90,92,100,100,64,54,85,100,97,199,89,98,100,57,45,63,57,63,97,49,12,30
017071,GENTIVA HEALTH SERVICES,12521 ALABAMA HIGHWAY 157,MOULTON,AL,35650,2057397800,PROPRIETARY,8/21/1986,Y,Y,Y,Y,Y,Y,93,93,93,98,66,65,92,99,97,97,96,98,99,68,60,75,67,67,90,58,12,25
017072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,3343822042,PROPRIETARY,2/5/1987,Y,Y,N,N,N,Y,97,91,100,100,74,63,95,100,99,199,96,97,100,63,43,66,49,55,96,62,10,29
017078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,2053759255,PROPRIETARY,6/12/1990,Y,Y,Y,Y,Y,Y,92,93,100,100,83,95,97,100,100,199,100,100,100,68,53,85,76,75,100,71,16,22
017080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2057597775,GOVERNMENT - STATE/COUNTY,5/2/1991,Y,Y,Y,Y,Y,Y,83,88,100,100,75,73,94,100,100,100,90,99,99,71,64,73,75,73,90,59,6,28
017082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,2059263211,PROPRIETARY,11/7/1991,Y,Y,N,Y,Y,Y,68,96,100,100,42,22,100,100,100,100,100,100,100,61,48,57,56,43,90,55,10,30
017083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,2052989886,PROPRIETARY,11/19/1991,Y,Y,Y,Y,Y,Y,98,55,98,98,79,78,67,99,92,100,93,98,98,53,55,60,62,63,93,38,9,29
017084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,3348726637,PROPRIETARY,11/21/1991,Y,Y,Y,Y,Y,Y,94,94,88,95,63,60,88,97,97,199,94,100,100,66,64,79,91,87,199,75,13,27
017085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,2562080087,PROPRIETARY,12/5/1991,Y,Y,Y,Y,Y,Y,84,81,82,97,67,71,97,100,100,97,97,100,99,59,53,63,67,41,95,53,11,32
017086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,3346829050,PROPRIETARY,1/9/1992,Y,Y,Y,Y,Y,Y,97,85,89,87,32,31,96,100,97,199,87,100,92,60,54,62,68,60,199,61,9,28
017088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,2059325961,PROPRIETARY,12/18/1991,Y,Y,N,Y,Y,Y,94,89,99,91,54,58,87,99,86,199,77,100,92,72,52,74,42,42,98,58,14,27
017089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,2567372831,VOLUNTARY NON-PROFIT - OTHER,6/11/1992,Y,Y,Y,N,Y,Y,91,94,93,99,83,85,90,100,97,100,86,97,100,56,67,61,55,56,88,46,11,23
017090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,2518432808,PROPRIETARY,6/10/1992,Y,Y,N,N,N,Y,93,95,98,99,67,57,95,100,98,199,95,92,99,51,54,54,56,53,98,52,11,27
017091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,3346243066,GOVERNMENT - STATE/COUNTY,6/18/1992,Y,Y,Y,Y,N,Y,97,99,100,100,60,35,100,100,100,199,100,100,98,100,83,100,94,97,199,93,7,29
017092,MEDICAL CENTER HOME HEALTH,"HWY 17 N, HOSPITAL DRIVE",CARROLLTON,AL,35447,2053678111,VOLUNTARY NON-PROFIT - OTHER,7/1/1992,Y,Y,N,Y,N,Y,88,96,99,100,74,71,100,100,99,100,98,100,97,50,51,55,72,62,100,37,12,26
017093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,2565242411,PROPRIETARY,7/30/1992,Y,Y,Y,Y,Y,Y,96,96,100,100,44,46,89,99,97,199,97,98,100,62,58,62,53,57,199,59,12,20
017094,CHEROKEE HOME HEALTH,775 CHEROKEE PLAZA,CENTRE,AL,35960,2569271144,PROPRIETARY,8/13/1992,Y,Y,Y,N,Y,Y,95,99,100,99,97,96,94,99,99,199,100,95,99,75,64,88,67,61,199,55,13,31
017095,ATHENS-LIMESTONE HOMECARE,1428 FREEMAN AVENUE,ATHENS,AL,35613,2562339533,PROPRIETARY,8/12/1992,Y,Y,Y,Y,Y,Y,95,79,85,100,81,66,93,100,100,97,98,94,99,68,68,72,62,64,97,63,13,28
017096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705257,GOVERNMENT - LOCAL,10/27/1992,Y,Y,N,N,N,Y,96,79,96,100,71,65,93,100,91,199,86,99,99,68,66,68,69,77,98,58,16,35
017145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,AL,35128,2058847202,PROPRIETARY,11/29/1995,Y,Y,Y,Y,Y,Y,98,97,70,98,80,85,89,98,94,99,81,100,100,55,50,63,76,76,95,49,14,23
017146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE NE, PO BOX 1147",RUSSELLVILLE,AL,35653,2563310006,PROPRIETARY,10/1/1998,Y,Y,N,N,N,Y,96,81,100,99,50,66,100,100,99,199,100,98,100,67,70,68,55,41,96,59,3,29
017147,SOUTHERN HOME HEALTH SERVICES,2214 B GATEWAY DRIVE,OPELIKA,AL,36801,3347457966,VOLUNTARY NON-PROFIT - PRIVATE,2/18/1999,Y,Y,Y,Y,N,Y,94,100,97,100,199,90,199,100,100,199,199,199,100,46,73,75,68,199,199,199,10,19
017148,THOMAS HOME HEALTH,"27961 US HWY 98, STE 16",DAPHNE,AL,36526,2516251520,PROPRIETARY,4/13/2000,Y,Y,Y,Y,Y,Y,99,84,90,97,71,72,95,100,99,100,95,99,97,59,64,72,63,55,98,55,9,27
017149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",HOOVER,AL,35242,2053132800,VOLUNTARY NON-PROFIT - PRIVATE,7/12/2000,Y,Y,Y,Y,Y,Y,95,97,79,99,74,79,72,100,84,93,71,99,100,57,50,64,67,55,90,46,11,28
017151,GENTIVA HEALTH SERVICES,1328 GREENBRIER-DEAR ROAD,ANNISTON,AL,36207,2568357101,PROPRIETARY,10/5/2000,Y,Y,Y,Y,Y,Y,94,82,91,97,77,81,78,100,74,98,76,97,100,69,55,72,76,69,96,62,8,23
017152,GENTIVA HEALTH SERVICES,1025 FORT WILLIAMS,SYLACAUGA,AL,35150,2562494363,PROPRIETARY,10/5/2000,Y,Y,Y,Y,Y,Y,94,94,94,99,81,84,99,100,100,199,100,100,100,71,63,73,86,80,90,61,12,34
017153,COMFORT CARE HOME HEALTH,1249 5TH STREET SOUTHWEST,ALABASTER,AL,35007,2056850421,PROPRIETARY,3/20/2002,Y,Y,Y,Y,Y,Y,91,96,86,96,76,74,95,98,99,97,98,97,95,63,54,72,71,75,90,53,10,31
017154,AMEDISYS HOME HEALTH,"1900 CRESTWOOD BLVD, 1900 BLDG, SUITE 95",IRONDALE,AL,35210,2059300720,PROPRIETARY,2/20/2003,Y,Y,Y,Y,Y,Y,91,65,100,100,41,45,77,100,96,199,86,97,100,56,47,68,70,75,93,52,10,25
017155,ALACARE HOME HEALTH  & HOSPICE (MOBILE),"1201 MONTLIMAR DRIVE, SUITE 700",MOBILE,AL,36609,2513410707,PROPRIETARY,2/5/2004,Y,Y,Y,Y,Y,Y,95,93,85,87,64,58,86,94,98,199,95,97,100,45,42,63,60,71,81,45,8,27
017156,BAPTIST CITIZENS HOME HEALTH CARE,604 STONE AVENUE,TALLADEGA,AL,35160,2567614363,VOLUNTARY NON-PROFIT - CHURCH,8/25/2004,Y,Y,Y,Y,Y,Y,92,97,94,100,71,78,99,98,100,199,98,100,100,50,48,67,71,65,83,44,12,19
017157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,AL,36801,3348877234,PROPRIETARY,3/9/2006,Y,Y,Y,Y,Y,Y,92,92,97,100,77,75,96,100,96,199,99,90,100,67,54,69,59,75,93,58,14,21
017158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,AL,35967,2568448303,PROPRIETARY,7/11/2006,Y,Y,Y,Y,Y,Y,94,93,100,100,86,84,91,100,99,199,95,99,100,68,57,75,67,65,95,62,14,26
017159,AMEDISYS HOME HEALTH OF OZARK,"123 S PAINTER AVENUE, SUITE C",OZARK,AL,36360,3347740370,PROPRIETARY,7/26/2006,Y,Y,N,Y,Y,Y,95,99,96,100,69,64,96,100,98,100,98,94,100,58,44,64,72,68,85,56,18,24
017160,CARESOUTH HOMECARE PROFESSIONALS,"2002 35TH STREET, SUITE D",VALLEY,AL,36854,3347566225,PROPRIETARY,9/13/2006,Y,Y,Y,N,N,Y,94,95,97,94,47,49,94,99,99,97,95,99,99,60,56,64,62,66,96,52,10,26
017161,GENTIVA HEALTH SERVICES,"185 CHATEAU DRIVE, SW, SUITE 102",HUNTSVILLE,AL,35801,2568813266,PROPRIETARY,3/15/2007,Y,Y,Y,Y,Y,Y,93,96,94,99,76,79,89,99,95,100,91,100,99,55,50,64,69,65,87,52,11,23
017163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,AL,36460,2515759195,PROPRIETARY,4/12/2007,Y,Y,N,Y,Y,Y,94,92,99,100,97,85,99,100,100,199,100,93,100,51,32,51,81,81,87,43,16,29
017164,GENTIVA HEALTH SERVICES,2740 HEADLAND AVE,DOTHAN,AL,36303,3349442290,PROPRIETARY,2/27/2008,Y,Y,Y,Y,N,Y,93,96,98,97,81,80,89,100,98,199,92,95,99,57,44,67,63,73,92,57,12,29
017165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,AL,35630,2567661817,PROPRIETARY,4/10/2008,Y,Y,Y,Y,Y,Y,92,92,100,100,66,40,94,100,100,100,99,99,100,62,49,65,51,64,92,49,12,29
017166,GENTIVA HEALTH SERVICES,118 6TH STREET SOUTH,CLANTON,AL,35045,2057559926,PROPRIETARY,5/11/2009,Y,Y,Y,Y,Y,Y,88,96,95,98,73,80,90,99,97,91,91,95,99,61,61,71,74,81,91,61,8,32
017167,GENTIVA HEALTH SERVICES,3319 DR JOHN HAYNES DRIVE SUITE 4,PELL CITY,AL,35125,2053388440,PROPRIETARY,5/20/2009,Y,Y,Y,Y,Y,Y,91,98,93,95,82,88,98,99,100,100,98,98,99,60,49,69,78,75,90,51,11,31
017168,GENTIVA HEALTH SERVICES,67 EAST MIDTOWN PARK,MOBILE,AL,36606,2514761279,PROPRIETARY,5/21/2009,Y,Y,Y,Y,Y,Y,87,84,96,97,65,65,82,99,97,100,74,81,100,58,47,68,70,70,86,53,9,31
017169,CV HOME HEALTH SERVICES,17035 HWY 11 NORTH,VANCE,AL,35490,2055629615,PROPRIETARY,12/15/2010,Y,Y,Y,Y,Y,Y,54,90,100,100,67,55,99,100,99,100,99,100,100,65,47,58,62,57,84,59,0,42
017170,GENTIVA HEALTH SERVICES,1458 JONES DAIRY ROAD SUITE 100,JASPER,AL,35501,2052215234,PROPRIETARY,9/4/2009,Y,Y,Y,Y,Y,Y,92,95,100,99,73,78,89,100,91,100,96,98,100,63,48,68,75,66,94,49,10,27
017171,GENTIVA HEALTH SERVICES,1217 CULLMAN SHOPPING CENTER NW,CULLMAN,AL,35055,2567392992,PROPRIETARY,9/2/2009,Y,Y,Y,Y,Y,Y,96,87,89,100,92,91,49,99,67,96,57,100,100,57,50,74,71,65,86,37,10,24
017172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",2035 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,2568414443,PROPRIETARY,6/30/2011,Y,Y,Y,Y,Y,Y,90,97,72,97,83,88,88,98,99,199,92,100,100,50,31,68,57,59,199,49,6,27
